Name;Link;Default Price;Current Price;Notified Price
DCS: F-15E by RAZBAM;https://www.digitalcombatsimulator.com/en/shop/modules/f-15e/;6399;6399;-1
DCS: F/A-18C;https://www.digitalcombatsimulator.com/en/shop/modules/hornet/;7999;7999;-1
DCS: Flaming Cliffs 3;https://www.digitalcombatsimulator.com/en/shop/modules/dcs_flaming_cliffs_3/;4999;4999;-1
DCS: F-16C Viper;https://www.digitalcombatsimulator.com/en/shop/modules/viper/;7999;7999;-1
DCS: F-14 Tomcat by Heatblur Simulations;https://www.digitalcombatsimulator.com/en/shop/modules/tomcat/;7999;7999;7999
DCS: Supercarrier;https://www.digitalcombatsimulator.com/en/shop/modules/supercarrier/;3999;3999;-1
DCS: AH-64D;https://www.digitalcombatsimulator.com/en/shop/modules/ah-64d/;6399;6399;-1
DCS: P-51D Mustang;https://www.digitalcombatsimulator.com/en/shop/modules/dcs_p51d_mustang/;4999;4999;-1
DCS: Black Shark 3;https://www.digitalcombatsimulator.com/en/shop/modules/black_shark_3/;6999;6999;-1
DCS: MB-339 by IndiaFoxtEcho Visual Simulation;https://www.digitalcombatsimulator.com/en/shop/modules/mb-339/;5999;5999;-1
DCS: Mirage F1 by Aerges;https://www.digitalcombatsimulator.com/en/shop/modules/mirage/;6399;6399;-1
DCS: Mosquito FB VI;https://www.digitalcombatsimulator.com/en/shop/modules/mosquito/;4799;4799;-1
DCS: Mi-24P Hind;https://www.digitalcombatsimulator.com/en/shop/modules/hind/;5599;5599;-1
DCS: A-10C II Tank Killer;https://www.digitalcombatsimulator.com/en/shop/modules/tank_killer/;7999;7999;-1
DCS: P-47D Thunderbolt;https://www.digitalcombatsimulator.com/en/shop/modules/thunderbolt/;4999;4999;-1
DCS: JF-17 Thunder by Deka Ironwork Simulations;https://www.digitalcombatsimulator.com/en/shop/modules/thunder/;7999;7999;-1
DCS: Fw 190 A-8;https://www.digitalcombatsimulator.com/en/shop/modules/anton/;4999;4999;-1
DCS: I-16 by OctopusG;https://www.digitalcombatsimulator.com/en/shop/modules/i-16/;3999;3999;-1
DCS: MiG-19P Farmer by RAZBAM;https://www.digitalcombatsimulator.com/en/shop/modules/farmer/;4999;4999;-1
DCS: Christen Eagle II by Magnitude 3 LLC;https://www.digitalcombatsimulator.com/en/shop/modules/christen_eagle/;2999;2999;-1
MiG-29 for DCS World;https://www.digitalcombatsimulator.com/en/shop/modules/mig-29_dcs_world/;1499;1499;-1
DCS: Yak-52;https://www.digitalcombatsimulator.com/en/shop/modules/yak52/;3999;3999;-1
DCS: AV-8B Night Attack V/STOL by RAZBAM;https://www.digitalcombatsimulator.com/en/shop/modules/av8bna/;6999;6999;-1
DCS: NS 430 Navigation System for SA342 Gazelle by Eagle Dynamics, Polychop Simulations;https://www.digitalcombatsimulator.com/en/shop/modules/ns430_sa342/;599;599;-1
DCS: NS 430 Navigation System for C-101EB by Eagle Dynamics, Aerges;https://www.digitalcombatsimulator.com/en/shop/modules/ns430_c-101eb/;599;599;-1
DCS: NS 430 Navigation System for C-101СС by Eagle Dynamics, Aerges;https://www.digitalcombatsimulator.com/en/shop/modules/ns430_c-101cc/;599;599;-1
DCS: NS 430 Navigation System for L-39С Cockpit;https://www.digitalcombatsimulator.com/en/shop/modules/ns430_l39/;599;599;-1
DCS: NS 430 Navigation System for Mi-8MTV2 Cockpit;https://www.digitalcombatsimulator.com/en/shop/modules/ns430_mi8mtv2/;599;599;-1
DCS: NS 430 Navigation System;https://www.digitalcombatsimulator.com/en/shop/modules/ns430/;1099;1099;-1
DCS: WWII Assets Pack;https://www.digitalcombatsimulator.com/en/shop/modules/wwii_assets_pack/;2999;2999;-1
DCS: AJS-37 Viggen by Heatblur Simulations;https://www.digitalcombatsimulator.com/en/shop/modules/viggen/;5999;5999;-1
DCS: Spitfire LF Mk. IX;https://www.digitalcombatsimulator.com/en/shop/modules/spitfire/;4999;4999;-1
DCS: F-5E Tiger II by Belsimtek;https://www.digitalcombatsimulator.com/en/shop/modules/tiger/;5999;5999;-1
DCS: SA342 Gazelle by Polychop Simulations;https://www.digitalcombatsimulator.com/en/shop/modules/gazelle/;4999;4999;-1
DCS: M-2000C by RAZBAM;https://www.digitalcombatsimulator.com/en/shop/modules/m2000c/;5999;5999;-1
DCS: L-39 Albatros;https://www.digitalcombatsimulator.com/en/shop/modules/albatros/;5999;5999;-1
DCS: C-101 Aviojet by AvioDev;https://www.digitalcombatsimulator.com/en/shop/modules/aviojet/;5999;5999;-1
DCS: MiG-15bis by Belsimtek;https://www.digitalcombatsimulator.com/en/shop/modules/mig15bis/;4999;4999;-1
DCS: MiG-21bis by Magnitude 3 LLC;https://www.digitalcombatsimulator.com/en/shop/modules/mig21bis/;4999;4999;-1
DCS: Bf 109 K-4 Kurfurst;https://www.digitalcombatsimulator.com/en/shop/modules/kurfurst/;4999;4999;-1
DCS: F-86F Sabre by Belsimtek;https://www.digitalcombatsimulator.com/en/shop/modules/sabre/;4999;4999;-1
DCS: Fw 190 D-9 Dora;https://www.digitalcombatsimulator.com/en/shop/modules/dora/;4999;4999;-1
DCS: Mi-8MTV2 Magnificent Eight by Belsimtek;https://www.digitalcombatsimulator.com/en/shop/modules/dcs_mi8mtv2_magnificent_eight/;4999;4999;-1
DCS: UH-1H Huey by Belsimtek;https://www.digitalcombatsimulator.com/en/shop/modules/dcs_uh1h_huey/;4999;4999;-1
DCS: Combined Arms;https://www.digitalcombatsimulator.com/en/shop/modules/dcs_combined_arms/;3999;3999;-1
Su-33 for DCS World;https://www.digitalcombatsimulator.com/en/shop/modules/su-33_dcs_world/;1499;1499;-1
Su-27 for DCS World;https://www.digitalcombatsimulator.com/en/shop/modules/su-27_dcs_world/;1499;1499;-1
F-15C for DCS World;https://www.digitalcombatsimulator.com/en/shop/modules/f-15c_dcs_world/;1499;1499;-1
Su-25 for DCS World;https://www.digitalcombatsimulator.com/en/shop/modules/su-25_dcs_world/;1499;1499;-1
A-10A for DCS World;https://www.digitalcombatsimulator.com/en/shop/modules/a-10a_dcs_world/;1499;1499;-1
